skills,education,interests,experience,career
kubernetes aws linux terraform docker networking,BTech CSE,problem solving,0,Cloud Engineer
aws git linux problem solving docker networking,BTech CSE,cloud computing,7,Cloud Engineer
kubernetes terraform linux aws docker networking,BTech CSE,technology,4,Cloud Engineer
docker networking aws linux,BTech IT,innovation,4,Cloud Engineer
kubernetes aws linux terraform networking,BTech IT,problem solving,6,Cloud Engineer
linux aws terraform networking,MCA,technology,3,Cloud Engineer
aws kubernetes linux terraform git communication docker networking,BTech CSE,devops,1,Cloud Engineer
python aws linux docker networking,BTech CSE,innovation,7,Cloud Engineer
aws kubernetes linux terraform git docker,BTech IT,innovation,8,Cloud Engineer
kubernetes terraform linux aws docker networking,BTech CSE,cloud computing,4,Cloud Engineer
kubernetes aws linux terraform docker networking,BTech CSE,infrastructure,8,Cloud Engineer
kubernetes terraform linux aws docker problem solving networking,BTech CSE,devops,0,Cloud Engineer
kubernetes terraform linux aws networking,BTech IT,problem solving,2,Cloud Engineer
kubernetes terraform linux aws docker networking,MCA,problem solving,6,Cloud Engineer
kubernetes terraform linux docker networking,BTech CSE,cloud computing,0,Cloud Engineer
aws terraform networking,BTech CSE,cloud computing,0,Cloud Engineer
kubernetes aws terraform linux docker networking,BTech IT,innovation,4,Cloud Engineer
kubernetes aws linux terraform docker networking,BTech CSE,infrastructure,1,Cloud Engineer
networking linux kubernetes docker,BTech CSE,problem solving,3,Cloud Engineer
python kubernetes aws linux terraform git docker,MCA,innovation,2,Cloud Engineer
kubernetes aws linux terraform networking,BTech IT,devops,0,Cloud Engineer
kubernetes aws terraform linux docker networking,BTech CSE,cloud computing,4,Cloud Engineer
aws terraform linux docker networking,BTech CSE,infrastructure,4,Cloud Engineer
aws linux communication docker networking,BTech CSE,devops,7,Cloud Engineer
aws kubernetes terraform linux networking,BTech CSE,infrastructure,6,Cloud Engineer
aws kubernetes linux terraform docker sql networking,BTech CSE,problem solving,0,Cloud Engineer
aws terraform linux kubernetes git docker networking,MCA,innovation,0,Cloud Engineer
aws kubernetes terraform docker networking,BTech CSE,problem solving,0,Cloud Engineer
kubernetes aws linux terraform networking,BTech CSE,technology,2,Cloud Engineer
kubernetes aws networking,BTech IT,problem solving,3,Cloud Engineer
kubernetes terraform aws,BTech CSE,problem solving,2,Cloud Engineer
python kubernetes aws linux terraform git networking,BTech CSE,infrastructure,2,Cloud Engineer
python kubernetes terraform linux docker networking,BTech CSE,devops,0,Cloud Engineer
kubernetes terraform linux aws git communication docker networking,BTech CSE,technology,0,Cloud Engineer
linux terraform docker,BTech CSE,infrastructure,3,Cloud Engineer
aws communication kubernetes docker,MCA,technology,2,Cloud Engineer
kubernetes aws linux terraform docker networking,BTech CSE,problem solving,1,Cloud Engineer
docker linux terraform networking,MCA,cloud computing,4,Cloud Engineer
kubernetes linux docker communication networking,BTech IT,innovation,5,Cloud Engineer
kubernetes aws communication docker networking,MCA,cloud computing,6,Cloud Engineer
aws kubernetes linux terraform docker networking,BTech CSE,cloud computing,8,Cloud Engineer
kubernetes terraform linux aws docker networking,BTech CSE,technology,0,Cloud Engineer
linux networking docker,BTech CSE,innovation,5,Cloud Engineer
aws kubernetes terraform linux docker networking,MCA,technology,3,Cloud Engineer
linux aws kubernetes networking,BTech CSE,infrastructure,5,Cloud Engineer
networking problem solving kubernetes aws,BTech CSE,cloud computing,2,Cloud Engineer
aws kubernetes problem solving networking,MCA,technology,0,Cloud Engineer
python kubernetes aws linux docker networking,MCA,innovation,4,Cloud Engineer
kubernetes aws terraform linux docker git networking,BTech CSE,problem solving,2,Cloud Engineer
kubernetes aws linux terraform docker communication networking,BTech IT,technology,5,Cloud Engineer
aws git terraform linux docker,MCA,cloud computing,5,Cloud Engineer
aws terraform linux kubernetes git docker networking,BTech IT,cloud computing,1,Cloud Engineer
kubernetes aws networking,BTech CSE,infrastructure,1,Cloud Engineer
linux aws git docker,MCA,devops,8,Cloud Engineer
kubernetes terraform linux,MCA,innovation,7,Cloud Engineer
docker kubernetes terraform linux,MCA,technology,6,Cloud Engineer
aws terraform linux,BTech CSE,problem solving,6,Cloud Engineer
kubernetes terraform problem solving linux networking,MCA,infrastructure,3,Cloud Engineer
aws git terraform docker networking,BTech CSE,innovation,2,Cloud Engineer
aws terraform linux git docker sql networking,BTech CSE,problem solving,3,Cloud Engineer
python kubernetes aws linux terraform docker networking,BTech CSE,cloud computing,6,Cloud Engineer
networking kubernetes linux,MCA,devops,7,Cloud Engineer
kubernetes aws linux terraform git docker networking,MCA,infrastructure,0,Cloud Engineer
docker kubernetes terraform networking,BTech IT,infrastructure,7,Cloud Engineer
aws kubernetes terraform linux,BTech CSE,problem solving,8,Cloud Engineer
kubernetes aws linux terraform docker communication networking,BTech CSE,innovation,3,Cloud Engineer
aws kubernetes linux terraform networking,MCA,technology,3,Cloud Engineer
kubernetes terraform docker,BTech CSE,infrastructure,7,Cloud Engineer
aws kubernetes linux terraform networking,BTech IT,technology,1,Cloud Engineer
python kubernetes linux docker networking,BTech IT,innovation,6,Cloud Engineer
kubernetes aws linux problem solving docker networking,BTech CSE,infrastructure,6,Cloud Engineer
aws git terraform linux docker,BTech IT,innovation,4,Cloud Engineer
python kubernetes aws terraform networking,BTech CSE,innovation,3,Cloud Engineer
aws kubernetes terraform linux networking,MCA,cloud computing,8,Cloud Engineer
python kubernetes terraform linux aws docker networking,MCA,problem solving,3,Cloud Engineer
aws terraform linux,BTech CSE,cloud computing,0,Cloud Engineer
aws kubernetes terraform docker networking,BTech CSE,technology,3,Cloud Engineer
kubernetes terraform linux,MCA,problem solving,7,Cloud Engineer
python kubernetes linux docker networking,BTech CSE,innovation,0,Cloud Engineer
kubernetes networking aws docker,BTech IT,cloud computing,0,Cloud Engineer
linux kubernetes networking,BTech CSE,cloud computing,0,Cloud Engineer
networking aws terraform linux,MCA,infrastructure,7,Cloud Engineer
docker networking linux,MCA,devops,8,Cloud Engineer
python linux kubernetes networking,BTech IT,cloud computing,2,Cloud Engineer
aws terraform networking,BTech IT,cloud computing,7,Cloud Engineer
aws kubernetes terraform docker networking,BTech CSE,devops,8,Cloud Engineer
aws kubernetes terraform communication networking,BTech CSE,technology,1,Cloud Engineer
kubernetes terraform linux aws docker networking,BTech IT,devops,6,Cloud Engineer
kubernetes aws linux docker sql networking,MCA,devops,2,Cloud Engineer
aws kubernetes terraform docker networking,MCA,problem solving,1,Cloud Engineer
aws terraform linux docker networking,BTech IT,innovation,2,Cloud Engineer
kubernetes aws linux networking sql,BTech IT,cloud computing,6,Cloud Engineer
aws terraform linux communication docker,BTech CSE,cloud computing,7,Cloud Engineer
networking kubernetes linux,BTech IT,problem solving,7,Cloud Engineer
python penetration testing git network security linux ethical hacking,BSc Cybersecurity,cyber defense,1,Cybersecurity Analyst
penetration testing git network security linux ethical hacking,BSc Cybersecurity,ethical hacking,0,Cybersecurity Analyst
python penetration testing network security linux sql,BSc Cybersecurity,cyber defense,8,Cybersecurity Analyst
penetration testing ethical hacking linux,BSc Cybersecurity,innovation,8,Cybersecurity Analyst
python penetration testing linux network security ethical hacking,MCA,problem solving,8,Cybersecurity Analyst
python communication penetration testing linux,BTech CSE,cyber defense,7,Cybersecurity Analyst
penetration testing network security communication docker ethical hacking,MCA,innovation,1,Cybersecurity Analyst
python penetration testing network security linux docker,MCA,ethical hacking,2,Cybersecurity Analyst
python penetration testing linux docker sql ethical hacking,MCA,innovation,1,Cybersecurity Analyst
python linux penetration testing network security,MCA,innovation,2,Cybersecurity Analyst
python penetration testing network security linux ethical hacking,MCA,cyber defense,2,Cybersecurity Analyst
python penetration testing aws linux network security sql ethical hacking,BSc Cybersecurity,problem solving,3,Cybersecurity Analyst
python penetration testing linux,BTech CSE,cyber defense,4,Cybersecurity Analyst
python ethical hacking linux,BTech CSE,problem solving,5,Cybersecurity Analyst
python ethical hacking docker network security,MCA,cyber defense,0,Cybersecurity Analyst
penetration testing network security linux docker ethical hacking,BSc Cybersecurity,innovation,2,Cybersecurity Analyst
python penetration testing git linux ethical hacking,MCA,innovation,8,Cybersecurity Analyst
python penetration testing aws network security,MCA,problem solving,3,Cybersecurity Analyst
python penetration testing ethical hacking,MCA,ethical hacking,8,Cybersecurity Analyst
linux penetration testing ethical hacking network security,BTech CSE,problem solving,1,Cybersecurity Analyst
python penetration testing linux network security ethical hacking,MCA,ethical hacking,0,Cybersecurity Analyst
python penetration testing linux network security docker sql,BSc Cybersecurity,technology,5,Cybersecurity Analyst
python git linux network security ethical hacking,MCA,security,6,Cybersecurity Analyst
python penetration testing aws network security linux ethical hacking,BSc Cybersecurity,ethical hacking,2,Cybersecurity Analyst
python penetration testing linux network security ethical hacking,MCA,technology,3,Cybersecurity Analyst
penetration testing ethical hacking linux,MCA,technology,8,Cybersecurity Analyst
linux ethical hacking network security,BTech CSE,problem solving,8,Cybersecurity Analyst
python ethical hacking linux,BSc Cybersecurity,cyber defense,2,Cybersecurity Analyst
python penetration testing linux network security docker ethical hacking,MCA,technology,7,Cybersecurity Analyst
python penetration testing aws git network security ethical hacking,MCA,innovation,2,Cybersecurity Analyst
network security python ethical hacking linux,BSc Cybersecurity,cyber defense,2,Cybersecurity Analyst
python network security problem solving linux ethical hacking,BTech CSE,technology,2,Cybersecurity Analyst
python penetration testing linux network security ethical hacking,BSc Cybersecurity,technology,4,Cybersecurity Analyst
python linux penetration testing network security,MCA,ethical hacking,0,Cybersecurity Analyst
python penetration testing network security linux sql ethical hacking,MCA,innovation,5,Cybersecurity Analyst
network security python ethical hacking linux,BTech CSE,problem solving,7,Cybersecurity Analyst
python penetration testing git network security linux docker,MCA,innovation,0,Cybersecurity Analyst
python penetration testing network security linux ethical hacking,BSc Cybersecurity,cyber defense,7,Cybersecurity Analyst
linux ethical hacking network security,BSc Cybersecurity,problem solving,8,Cybersecurity Analyst
python penetration testing network security linux ethical hacking,MCA,ethical hacking,2,Cybersecurity Analyst
python git network security linux sql,BSc Cybersecurity,technology,5,Cybersecurity Analyst
python penetration testing linux network security communication ethical hacking,BTech CSE,cyber defense,4,Cybersecurity Analyst
python git linux network security communication ethical hacking,BTech CSE,ethical hacking,3,Cybersecurity Analyst
network security problem solving penetration testing linux,BSc Cybersecurity,technology,1,Cybersecurity Analyst
network security python git linux,MCA,technology,4,Cybersecurity Analyst
python communication ethical hacking network security,BSc Cybersecurity,innovation,0,Cybersecurity Analyst
python penetration testing ethical hacking linux,BTech CSE,ethical hacking,1,Cybersecurity Analyst
python penetration testing linux network security docker ethical hacking,MCA,technology,1,Cybersecurity Analyst
python penetration testing linux network security ethical hacking,BTech CSE,ethical hacking,2,Cybersecurity Analyst
network security python penetration testing linux,MCA,security,2,Cybersecurity Analyst
python penetration testing ethical hacking linux,BTech CSE,ethical hacking,1,Cybersecurity Analyst
python penetration testing aws network security linux communication ethical hacking,MCA,security,7,Cybersecurity Analyst
python penetration testing linux network security sql ethical hacking,MCA,innovation,8,Cybersecurity Analyst
python penetration testing ethical hacking,BSc Cybersecurity,problem solving,1,Cybersecurity Analyst
python penetration testing aws network security linux ethical hacking,MCA,cyber defense,8,Cybersecurity Analyst
penetration testing ethical hacking linux,BSc Cybersecurity,cyber defense,3,Cybersecurity Analyst
python penetration testing linux network security communication ethical hacking,MCA,problem solving,7,Cybersecurity Analyst
python penetration testing ethical hacking network security,BTech CSE,problem solving,7,Cybersecurity Analyst
python communication penetration testing network security,MCA,technology,2,Cybersecurity Analyst
python penetration testing aws network security linux problem solving ethical hacking,MCA,ethical hacking,7,Cybersecurity Analyst
python penetration testing network security linux problem solving communication ethical hacking,MCA,technology,4,Cybersecurity Analyst
python penetration testing linux,BSc Cybersecurity,problem solving,6,Cybersecurity Analyst
network security python ethical hacking linux,BSc Cybersecurity,innovation,6,Cybersecurity Analyst
python penetration testing linux docker ethical hacking,MCA,ethical hacking,5,Cybersecurity Analyst
python penetration testing ethical hacking,BSc Cybersecurity,problem solving,1,Cybersecurity Analyst
python git network security problem solving linux,BSc Cybersecurity,cyber defense,0,Cybersecurity Analyst
python penetration testing network security linux ethical hacking,BTech CSE,problem solving,6,Cybersecurity Analyst
python penetration testing aws linux docker,BSc Cybersecurity,security,7,Cybersecurity Analyst
python penetration testing git network security linux problem solving ethical hacking,BSc Cybersecurity,problem solving,8,Cybersecurity Analyst
network security penetration testing ethical hacking linux,BTech CSE,problem solving,7,Cybersecurity Analyst
penetration testing ethical hacking network security,BSc Cybersecurity,ethical hacking,6,Cybersecurity Analyst
python penetration testing network security,BSc Cybersecurity,innovation,1,Cybersecurity Analyst
python penetration testing linux network security problem solving ethical hacking,BTech CSE,security,2,Cybersecurity Analyst
sql python penetration testing network security,BTech CSE,ethical hacking,5,Cybersecurity Analyst
python penetration testing network security linux problem solving docker ethical hacking,BSc Cybersecurity,innovation,4,Cybersecurity Analyst
python penetration testing git linux network security,MCA,cyber defense,0,Cybersecurity Analyst
python penetration testing ethical hacking linux,BTech CSE,security,6,Cybersecurity Analyst
python penetration testing network security linux ethical hacking,BSc Cybersecurity,problem solving,6,Cybersecurity Analyst
python penetration testing aws network security linux docker ethical hacking,BTech CSE,security,0,Cybersecurity Analyst
python penetration testing ethical hacking network security,BSc Cybersecurity,ethical hacking,2,Cybersecurity Analyst
linux problem solving network security docker ethical hacking,MCA,security,4,Cybersecurity Analyst
python penetration testing ethical hacking network security,MCA,innovation,3,Cybersecurity Analyst
python penetration testing aws problem solving network security ethical hacking,BTech CSE,technology,3,Cybersecurity Analyst
network security python communication linux,MCA,innovation,0,Cybersecurity Analyst
python network security linux communication ethical hacking,BSc Cybersecurity,technology,6,Cybersecurity Analyst
python penetration testing ethical hacking network security,BSc Cybersecurity,problem solving,3,Cybersecurity Analyst
network security ethical hacking linux,BTech CSE,innovation,8,Cybersecurity Analyst
linux penetration testing ethical hacking network security,MCA,ethical hacking,3,Cybersecurity Analyst
python penetration testing linux docker ethical hacking,MCA,security,8,Cybersecurity Analyst
python penetration testing network security linux ethical hacking,BSc Cybersecurity,technology,2,Cybersecurity Analyst
penetration testing linux network security docker ethical hacking,BSc Cybersecurity,innovation,3,Cybersecurity Analyst
python problem solving ethical hacking network security,BTech CSE,ethical hacking,1,Cybersecurity Analyst
python penetration testing network security linux ethical hacking,BSc Cybersecurity,innovation,2,Cybersecurity Analyst
python penetration testing git network security ethical hacking,MCA,technology,6,Cybersecurity Analyst
python linux network security sql ethical hacking,BTech CSE,ethical hacking,1,Cybersecurity Analyst
python penetration testing linux network security ethical hacking,BTech CSE,innovation,6,Cybersecurity Analyst
python penetration testing network security linux docker ethical hacking,MCA,technology,5,Cybersecurity Analyst
penetration testing linux communication sql ethical hacking,MCA,innovation,8,Cybersecurity Analyst
python penetration testing aws network security linux,MCA,innovation,6,Cybersecurity Analyst
python penetration testing aws linux network security docker,MCA,problem solving,2,Cybersecurity Analyst
data analysis communication power bi excel docker sql,BBA,technology,5,Business Analyst
sql data analysis excel problem solving,BBA,innovation,4,Business Analyst
data analysis aws communication power bi excel sql,MBA,technology,2,Business Analyst
data analysis git communication power bi excel sql,BCom,business strategy,6,Business Analyst
data analysis git problem solving communication excel sql,BCom,reporting,1,Business Analyst
sql communication power bi excel,MBA,analytics,8,Business Analyst
data analysis communication power bi excel sql,BBA,reporting,5,Business Analyst
data analysis communication power bi excel sql,BCom,innovation,1,Business Analyst
data analysis aws power bi excel sql,BBA,innovation,0,Business Analyst
data analysis linux problem solving communication excel sql,BBA,technology,1,Business Analyst
sql data analysis power bi,BBA,business strategy,0,Business Analyst
data analysis problem solving communication power bi excel docker,MBA,technology,2,Business Analyst
data analysis git problem solving communication power bi,BBA,business strategy,2,Business Analyst
sql power bi excel,BBA,technology,6,Business Analyst
data analysis linux power bi excel sql,MBA,reporting,1,Business Analyst
communication power bi excel docker sql,MBA,problem solving,5,Business Analyst
data analysis communication power bi excel docker,MBA,problem solving,0,Business Analyst
sql data analysis power bi docker,MBA,technology,0,Business Analyst
data analysis communication power bi,MBA,analytics,4,Business Analyst
sql data analysis power bi python,MBA,reporting,4,Business Analyst
sql power bi communication excel,BBA,analytics,4,Business Analyst
data analysis problem solving communication excel docker sql,BCom,reporting,6,Business Analyst
data analysis communication power bi excel sql,MBA,analytics,2,Business Analyst
data analysis aws problem solving communication power bi sql,MBA,innovation,3,Business Analyst
python data analysis aws communication excel sql,BBA,analytics,8,Business Analyst
aws linux communication power bi excel,BCom,business strategy,1,Business Analyst
sql data analysis power bi excel,MBA,problem solving,8,Business Analyst
sql data analysis excel git,BBA,analytics,8,Business Analyst
sql communication excel docker,MBA,technology,3,Business Analyst
data analysis communication power bi excel sql,BCom,analytics,3,Business Analyst
data analysis problem solving power bi excel sql,BBA,reporting,6,Business Analyst
data analysis communication power bi excel sql,BBA,problem solving,8,Business Analyst
data analysis communication power bi excel sql,BCom,problem solving,6,Business Analyst
sql data analysis communication excel,MBA,business strategy,2,Business Analyst
sql data analysis communication power bi,BBA,business strategy,5,Business Analyst
sql data analysis power bi,BBA,business strategy,8,Business Analyst
data analysis problem solving communication power bi excel sql,MBA,technology,3,Business Analyst
data analysis communication power bi excel,BBA,innovation,2,Business Analyst
python data analysis communication excel sql,BCom,innovation,2,Business Analyst
power bi data analysis communication excel,BCom,technology,1,Business Analyst
sql data analysis power bi excel,BBA,reporting,7,Business Analyst
python data analysis aws communication power bi excel,MBA,problem solving,8,Business Analyst
aws communication power bi excel sql,BCom,technology,0,Business Analyst
problem solving communication power bi excel sql,BCom,reporting,8,Business Analyst
sql python power bi excel,BCom,problem solving,0,Business Analyst
data analysis communication excel aws,BBA,technology,2,Business Analyst
data analysis linux communication power bi excel sql,MBA,analytics,3,Business Analyst
data analysis linux communication power bi excel,BCom,analytics,4,Business Analyst
data analysis communication power bi excel sql,BBA,innovation,1,Business Analyst
sql communication power bi excel,BCom,innovation,7,Business Analyst
data analysis aws communication power bi excel sql,BCom,technology,1,Business Analyst
sql data analysis excel aws,MBA,business strategy,1,Business Analyst
linux communication power bi excel sql,BBA,analytics,1,Business Analyst
sql data analysis communication power bi,MBA,business strategy,6,Business Analyst
aws communication power bi excel docker sql,BCom,reporting,4,Business Analyst
data analysis problem solving communication power bi excel,BCom,innovation,3,Business Analyst
data analysis communication power bi excel sql,BBA,analytics,1,Business Analyst
sql data analysis power bi linux,BCom,reporting,8,Business Analyst
python data analysis communication power bi excel sql,MBA,innovation,2,Business Analyst
data analysis git problem solving communication power bi excel sql,BCom,business strategy,5,Business Analyst
data analysis communication power bi,BCom,problem solving,3,Business Analyst
python data analysis power bi excel sql,BBA,analytics,0,Business Analyst
data analysis git linux communication excel,BBA,problem solving,8,Business Analyst
power bi communication excel problem solving,BCom,reporting,6,Business Analyst
data analysis communication power bi excel docker sql,BBA,innovation,5,Business Analyst
sql power bi excel,BCom,analytics,0,Business Analyst
data analysis problem solving power bi excel sql,BBA,analytics,0,Business Analyst
sql data analysis communication power bi,BBA,technology,8,Business Analyst
power bi data analysis excel sql,MBA,reporting,2,Business Analyst
sql data analysis communication power bi,BCom,analytics,3,Business Analyst
sql data analysis communication linux,MBA,business strategy,0,Business Analyst
aws linux power bi excel sql,MBA,innovation,4,Business Analyst
data analysis communication power bi excel docker sql,BBA,analytics,2,Business Analyst
data analysis aws git communication excel,BCom,reporting,5,Business Analyst
data analysis aws communication excel docker sql,MBA,business strategy,3,Business Analyst
sql communication power bi excel,BCom,technology,5,Business Analyst
data analysis communication power bi excel sql,BCom,analytics,0,Business Analyst
sql data analysis communication,BCom,analytics,6,Business Analyst
sql data analysis communication excel,MBA,technology,7,Business Analyst
power bi data analysis communication excel,MBA,analytics,5,Business Analyst
sql communication power bi,BBA,innovation,0,Business Analyst
data analysis communication power bi excel sql,MBA,problem solving,6,Business Analyst
power bi communication excel,BBA,problem solving,5,Business Analyst
python data analysis communication power bi excel sql,BBA,business strategy,2,Business Analyst
power bi data analysis communication excel,MBA,business strategy,6,Business Analyst
data analysis aws problem solving communication excel sql,BBA,analytics,2,Business Analyst
data analysis communication power bi excel sql,MBA,technology,5,Business Analyst
sql data analysis communication power bi,BCom,technology,4,Business Analyst
data analysis communication power bi excel docker sql,BBA,problem solving,7,Business Analyst
python data analysis git communication power bi excel sql,BBA,innovation,1,Business Analyst
data analysis problem solving communication power bi excel sql,MBA,problem solving,8,Business Analyst
sql data analysis communication power bi,MBA,business strategy,0,Business Analyst
sql data analysis power bi excel,BBA,technology,6,Business Analyst
power bi data analysis communication excel,BCom,problem solving,3,Business Analyst
data analysis communication power bi excel sql,MBA,problem solving,2,Business Analyst
data analysis git problem solving power bi sql,MBA,analytics,0,Business Analyst
data analysis communication power bi excel docker,BBA,technology,6,Business Analyst
data analysis linux communication power bi excel sql,BBA,problem solving,5,Business Analyst
sql data analysis power bi excel,BCom,reporting,4,Business Analyst
data analysis communication excel docker sql,BBA,innovation,8,Business Analyst
kubernetes aws linux communication sql ci cd,MCA,deployment,0,DevOps Engineer
kubernetes aws linux jenkins docker ci cd,MCA,infrastructure,2,DevOps Engineer
kubernetes aws linux git jenkins ci cd,BTech CSE,automation,3,DevOps Engineer
python aws kubernetes linux,BTech CSE,automation,7,DevOps Engineer
aws kubernetes git linux ci cd,BTech CSE,infrastructure,7,DevOps Engineer
linux communication jenkins docker ci cd,BTech CSE,automation,7,DevOps Engineer
aws problem solving linux sql jenkins,BTech CSE,innovation,8,DevOps Engineer
python kubernetes linux communication docker ci cd,MCA,problem solving,7,DevOps Engineer
jenkins kubernetes docker,BTech CSE,innovation,7,DevOps Engineer
ci cd jenkins aws docker,BTech CSE,technology,7,DevOps Engineer
kubernetes aws linux jenkins docker ci cd,BTech CSE,technology,2,DevOps Engineer
ci cd jenkins aws docker,BTech CSE,deployment,3,DevOps Engineer
kubernetes aws linux jenkins docker ci cd,MCA,innovation,2,DevOps Engineer
aws git linux communication jenkins docker ci cd,BTech CSE,deployment,0,DevOps Engineer
kubernetes aws linux jenkins docker ci cd,MCA,problem solving,4,DevOps Engineer
python ci cd aws linux,BTech CSE,problem solving,4,DevOps Engineer
kubernetes aws communication docker ci cd,BTech CSE,innovation,2,DevOps Engineer
aws kubernetes linux jenkins docker ci cd,MCA,problem solving,8,DevOps Engineer
kubernetes aws linux problem solving docker ci cd,MCA,deployment,8,DevOps Engineer
aws linux jenkins docker ci cd,BTech CSE,problem solving,1,DevOps Engineer
aws kubernetes linux docker ci cd,MCA,innovation,6,DevOps Engineer
linux ci cd kubernetes docker,MCA,innovation,7,DevOps Engineer
kubernetes aws linux jenkins docker ci cd,MCA,innovation,4,DevOps Engineer
linux ci cd kubernetes docker,MCA,infrastructure,6,DevOps Engineer
aws kubernetes problem solving communication jenkins docker ci cd,MCA,problem solving,8,DevOps Engineer
ci cd jenkins aws linux,MCA,technology,1,DevOps Engineer
linux problem solving kubernetes docker,BTech CSE,infrastructure,3,DevOps Engineer
aws jenkins kubernetes docker,BTech CSE,technology,0,DevOps Engineer
kubernetes ci cd aws,BTech CSE,innovation,4,DevOps Engineer
ci cd aws git linux,MCA,infrastructure,8,DevOps Engineer
aws kubernetes linux communication jenkins docker ci cd,MCA,infrastructure,7,DevOps Engineer
kubernetes linux problem solving jenkins docker ci cd,MCA,automation,6,DevOps Engineer
aws kubernetes linux problem solving git jenkins docker ci cd,BTech CSE,automation,7,DevOps Engineer
aws kubernetes communication docker jenkins,MCA,automation,7,DevOps Engineer
ci cd kubernetes aws linux communication docker jenkins,MCA,automation,5,DevOps Engineer
jenkins kubernetes aws,MCA,problem solving,2,DevOps Engineer
kubernetes git linux jenkins docker ci cd,BTech CSE,innovation,1,DevOps Engineer
kubernetes aws linux docker ci cd,BTech CSE,problem solving,6,DevOps Engineer
aws linux jenkins docker ci cd,BTech CSE,infrastructure,3,DevOps Engineer
python aws linux jenkins ci cd,MCA,infrastructure,3,DevOps Engineer
kubernetes problem solving linux jenkins ci cd,MCA,problem solving,4,DevOps Engineer
kubernetes aws linux jenkins docker ci cd,MCA,infrastructure,6,DevOps Engineer
jenkins communication kubernetes docker,BTech CSE,deployment,1,DevOps Engineer
python ci cd aws docker,MCA,automation,4,DevOps Engineer
python aws jenkins sql ci cd,BTech CSE,innovation,6,DevOps Engineer
python aws linux problem solving jenkins docker ci cd,MCA,problem solving,4,DevOps Engineer
python aws kubernetes linux jenkins docker ci cd,BTech CSE,infrastructure,2,DevOps Engineer
sql ci cd kubernetes linux,BTech CSE,automation,3,DevOps Engineer
docker aws linux,BTech CSE,automation,7,DevOps Engineer
aws kubernetes linux docker sql,MCA,innovation,4,DevOps Engineer
ci cd aws docker,BTech CSE,automation,1,DevOps Engineer
kubernetes aws linux jenkins docker ci cd,MCA,deployment,5,DevOps Engineer
aws kubernetes linux git docker sql ci cd,BTech CSE,technology,8,DevOps Engineer
python aws kubernetes linux problem solving jenkins docker ci cd,MCA,innovation,7,DevOps Engineer
kubernetes aws problem solving linux docker jenkins,BTech CSE,infrastructure,6,DevOps Engineer
docker ci cd aws linux,MCA,deployment,8,DevOps Engineer
python aws linux docker jenkins,BTech CSE,automation,3,DevOps Engineer
ci cd jenkins aws,BTech CSE,automation,6,DevOps Engineer
kubernetes aws linux jenkins docker ci cd,BTech CSE,deployment,1,DevOps Engineer
kubernetes aws linux jenkins docker ci cd,BTech CSE,automation,5,DevOps Engineer
jenkins kubernetes linux,MCA,infrastructure,8,DevOps Engineer
kubernetes aws linux jenkins docker ci cd,BTech CSE,innovation,7,DevOps Engineer
sql jenkins aws linux,BTech CSE,infrastructure,0,DevOps Engineer
kubernetes git linux aws docker,MCA,deployment,0,DevOps Engineer
docker kubernetes git aws,MCA,infrastructure,3,DevOps Engineer
kubernetes aws linux jenkins docker ci cd,MCA,technology,3,DevOps Engineer
kubernetes aws jenkins docker ci cd,BTech CSE,automation,6,DevOps Engineer
kubernetes linux jenkins docker ci cd,BTech CSE,technology,5,DevOps Engineer
kubernetes aws docker,MCA,problem solving,4,DevOps Engineer
aws linux jenkins docker ci cd,BTech CSE,innovation,0,DevOps Engineer
python kubernetes linux problem solving docker ci cd,BTech CSE,technology,1,DevOps Engineer
linux communication aws docker,MCA,automation,1,DevOps Engineer
ci cd kubernetes aws linux git docker jenkins,BTech CSE,infrastructure,7,DevOps Engineer
kubernetes problem solving communication docker jenkins,MCA,automation,5,DevOps Engineer
kubernetes aws linux git communication jenkins docker ci cd,BTech CSE,deployment,7,DevOps Engineer
ci cd python jenkins linux,MCA,technology,2,DevOps Engineer
python kubernetes linux jenkins docker ci cd,BTech CSE,innovation,6,DevOps Engineer
aws kubernetes linux,BTech CSE,infrastructure,2,DevOps Engineer
aws linux jenkins docker ci cd,MCA,problem solving,2,DevOps Engineer
python aws git docker ci cd,MCA,technology,6,DevOps Engineer
python aws kubernetes linux jenkins,MCA,automation,8,DevOps Engineer
problem solving communication jenkins docker ci cd,BTech CSE,problem solving,6,DevOps Engineer
aws kubernetes problem solving linux ci cd,BTech CSE,infrastructure,8,DevOps Engineer
aws linux problem solving jenkins docker sql ci cd,MCA,innovation,2,DevOps Engineer
aws jenkins kubernetes linux,MCA,technology,2,DevOps Engineer
docker ci cd kubernetes linux,BTech CSE,technology,6,DevOps Engineer
aws communication docker sql ci cd,MCA,technology,7,DevOps Engineer
aws linux problem solving jenkins docker ci cd,BTech CSE,deployment,5,DevOps Engineer
kubernetes linux jenkins docker ci cd,BTech CSE,automation,7,DevOps Engineer
kubernetes aws linux docker ci cd,BTech CSE,innovation,5,DevOps Engineer
kubernetes aws linux communication docker ci cd,MCA,technology,6,DevOps Engineer
aws kubernetes linux jenkins docker ci cd,MCA,deployment,0,DevOps Engineer
python kubernetes aws linux git docker ci cd,BTech CSE,infrastructure,2,DevOps Engineer
sql jenkins aws docker,MCA,automation,0,DevOps Engineer
sql jenkins kubernetes docker,MCA,automation,6,DevOps Engineer
